Row Labels,ratio,angle
0.21-0.43,0.043243243,60
0.43-0.65,0.183783784,60
0.65-0.87,0.227027027,60
0.87-1.09,0.205405405,60
1.09-1.31,0.151351351,60
1.31-1.53,0.097297297,60
1.53-1.75,0.043243243,60
1.75-1.97,0.021621622,60
1.97-2.19,0.027027027,60
2.19-2.41,0,60
2.41-2.63,0,60
2.63-2.85,0,60
2.85-3.07,0,60
3.07-3.29,0,60
3.29-3.51,0,60
3.51-3.73,0,60
3.73-3.95,0,60
4.39-4.61,0,60
0.21-0.43,0.125,30
0.43-0.65,0.375,30
0.65-0.87,0.125,30
0.87-1.09,0.25,30
1.09-1.31,0.125,30
1.31-1.53,0,30
1.53-1.75,0,30
1.75-1.97,0,30
1.97-2.19,0,30
2.19-2.41,0,30
2.41-2.63,0,30
2.63-2.85,0,30
2.85-3.07,0,30
3.07-3.29,0,30
3.29-3.51,0,30
3.51-3.73,0,30
3.73-3.95,0,30
4.39-4.61,0,30
0.21-0.43,0,90
0.43-0.65,0.5,90
0.65-0.87,0.5,90
0.87-1.09,0,90
1.09-1.31,0,90
1.31-1.53,0,90
1.53-1.75,0,90
1.75-1.97,0,90
1.97-2.19,0,90
2.19-2.41,0,90
2.41-2.63,0,90
2.63-2.85,0,90
2.85-3.07,0,90
3.07-3.29,0,90
3.29-3.51,0,90
3.51-3.73,0,90
3.73-3.95,0,90
4.39-4.61,0,90
0.21-0.43,0,120
0.43-0.65,0.25,120
0.65-0.87,0.25,120
0.87-1.09,0.25,120
1.09-1.31,0.125,120
1.31-1.53,0.125,120
1.53-1.75,0,120
1.75-1.97,0,120
1.97-2.19,0,120
2.19-2.41,0,120
2.41-2.63,0,120
2.63-2.85,0,120
2.85-3.07,0,120
3.07-3.29,0,120
3.29-3.51,0,120
3.51-3.73,0,120
3.73-3.95,0,120
4.39-4.61,0,120
0.21-0.43,0.252148997,150
0.43-0.65,0.29512894,150
0.65-0.87,0.180515759,150
0.87-1.09,0.100286533,150
1.09-1.31,0.040114613,150
1.31-1.53,0.031518625,150
1.53-1.75,0.028653295,150
1.75-1.97,0.022922636,150
1.97-2.19,0.017191977,150
2.19-2.41,0.017191977,150
2.41-2.63,0.011461318,150
2.63-2.85,0,150
2.85-3.07,0,150
3.07-3.29,0,150
3.29-3.51,0.00286533,150
3.51-3.73,0,150
3.73-3.95,0,150
4.39-4.61,0,150
0.21-0.43,0.202182285,180
0.43-0.65,0.234274711,180
0.65-0.87,0.146983312,180
0.87-1.09,0.108472401,180
1.09-1.31,0.077021823,180
1.31-1.53,0.059050064,180
1.53-1.75,0.050706033,180
1.75-1.97,0.037869063,180
1.97-2.19,0.027599487,180
2.19-2.41,0.019897304,180
2.41-2.63,0.01283697,180
2.63-2.85,0.012195122,180
2.85-3.07,0.005134788,180
3.07-3.29,0.002567394,180
3.29-3.51,0.003209243,180
3.51-3.73,0,180
3.73-3.95,0,180
