0,1,2,3,4,5,pre_max_value,max_index,name,real
1,5.21E-20,8.42E-20,2.53E-11,4.92E-23,1.70E-09,1,0,637826116411705085_19_Metal_Bumpcorrosion\637826116881036910_RTEC_Regular_DEF.JPG,0
0.99999785,4.80E-16,2.93E-17,1.42E-06,1.19E-18,6.93E-07,0.99999785,0,637826116411705085_19_Metal_Bumpcorrosion\637826116881974532_RTEC_Regular_DEF.JPG,0
0.99998164,9.31E-18,3.03E-15,1.82E-05,2.01E-19,1.54E-07,0.99998164,0,637826116411705085_19_Metal_Bumpcorrosion\637826116882443460_RTEC_Regular_DEF.JPG,0
0.061458357,2.84E-23,8.55E-15,0.93820155,8.43E-15,0.000340117,0.93820155,3,637826116411705085_19_Metal_Bumpcorrosion\637826116882912379_RTEC_Regular_DEF.JPG,0
0.9999989,2.57E-15,6.77E-14,6.88E-07,8.96E-17,3.05E-07,0.9999989,0,637826116411705085_19_Metal_Bumpcorrosion\637826116883537445_RTEC_Regular_DEF.JPG,0
0.999998,8.67E-16,7.80E-18,1.46E-08,8.11E-20,2.00E-06,0.999998,0,637826116411705085_19_Metal_Bumpcorrosion\637826116884006398_RTEC_Regular_DEF.JPG,0
0.99999774,2.78E-15,3.22E-16,1.06E-06,1.66E-18,1.24E-06,0.99999774,0,637826116411705085_19_Metal_Bumpcorrosion\637826116884475292_RTEC_Regular_DEF.JPG,0
0.998708,5.28E-15,3.32E-13,0.001036221,1.10E-16,0.000255733,0.998708,0,637826116411705085_19_Metal_Bumpcorrosion\637826116884944064_RTEC_Regular_DEF.JPG,0
0.9999933,1.06E-18,2.64E-14,5.35E-06,2.30E-18,1.32E-06,0.9999933,0,637826116411705085_19_Metal_Bumpcorrosion\637826116885569096_RTEC_Regular_DEF.JPG,0
0.99999964,1.14E-16,1.51E-18,4.09E-09,4.57E-21,3.37E-07,0.99999964,0,637826116411705085_19_Metal_Bumpcorrosion\637826116886038171_RTEC_Regular_DEF.JPG,0
0.9999988,3.07E-17,4.30E-17,4.02E-08,3.60E-20,1.18E-06,0.9999988,0,637826116411705085_19_Metal_Bumpcorrosion\637826116886506928_RTEC_Regular_DEF.JPG,0
0.9999999,6.07E-19,4.76E-19,1.13E-07,3.58E-20,1.83E-08,0.9999999,0,637826116411705085_19_Metal_Bumpcorrosion\637826116886975749_RTEC_Regular_DEF.JPG,0
0.9999999,9.18E-17,4.06E-19,1.16E-09,2.81E-21,1.19E-07,0.9999999,0,637826116411705085_19_Metal_Bumpcorrosion\637826116887600879_RTEC_Regular_DEF.JPG,0
0.99998915,5.28E-17,2.00E-16,1.06E-05,5.84E-19,2.95E-07,0.99998915,0,637826116411705085_19_Metal_Bumpcorrosion\637826116888069641_RTEC_Regular_DEF.JPG,0
0.9999784,2.84E-16,5.75E-16,1.85E-05,1.46E-18,3.06E-06,0.9999784,0,637826116411705085_19_Metal_Bumpcorrosion\637826116888538056_RTEC_Regular_DEF.JPG,0
0.001756441,1.46E-11,5.85E-11,0.005576364,2.29E-17,0.99266726,0.99266726,5,637826116411705085_19_Metal_Bumpcorrosion\637826116889006872_RTEC_Regular_DEF.JPG,0
0.9701377,6.80E-17,1.84E-13,0.01859606,1.27E-16,0.01126625,0.9701377,0,637826116411705085_19_Metal_Bumpcorrosion\637826116889476284_RTEC_Regular_DEF.JPG,0
0.5178096,7.13E-11,6.99E-13,0.4498417,1.98E-13,0.032348614,0.5178096,0,637826116411705085_19_Metal_Bumpcorrosion\637826116890100891_RTEC_Regular_DEF.JPG,0
0.99999666,7.96E-15,5.79E-19,4.13E-08,4.77E-19,3.39E-06,0.99999666,0,637826116411705085_19_Metal_Bumpcorrosion\637826116890413931_RTEC_Regular_DEF.JPG,0
0.9999964,5.32E-12,3.51E-14,1.73E-09,5.17E-19,3.54E-06,0.9999964,0,637826116411705085_19_Metal_Bumpcorrosion\637826116890726359_RTEC_Regular_DEF.JPG,0
0.9997681,7.47E-13,4.74E-16,1.09E-07,2.94E-18,0.000231858,0.9997681,0,637826116411705085_19_Metal_Bumpcorrosion\637826116891195561_RTEC_Regular_DEF.JPG,0
0.9999981,1.18E-14,4.45E-17,5.74E-08,8.67E-19,1.92E-06,0.9999981,0,637826116411705085_19_Metal_Bumpcorrosion\637826116891508131_RTEC_Regular_DEF.JPG,0
0.9781491,2.73E-26,3.13E-14,0.020431552,7.96E-18,0.001419355,0.9781491,0,637826116411705085_19_Metal_Bumpcorrosion\637826116891977035_RTEC_Regular_DEF.JPG,0
0.99967015,2.28E-25,3.22E-15,0.000130315,2.40E-18,0.000199475,0.99967015,0,637826116411705085_19_Metal_Bumpcorrosion\637826116892445787_RTEC_Regular_DEF.JPG,0
0.9999896,2.41E-12,1.62E-16,8.03E-08,1.67E-17,1.03E-05,0.9999896,0,637826116411705085_19_Metal_Bumpcorrosion\637826116892914774_RTEC_Regular_DEF.JPG,0
1,1.25E-11,2.94E-15,5.63E-10,3.06E-20,6.29E-09,1,0,637826116411705085_19_Metal_Bumpcorrosion\637826116893383594_RTEC_Regular_DEF.JPG,0
0.9999999,1.01E-10,2.95E-14,6.80E-10,1.18E-19,1.66E-07,0.9999999,0,637826116411705085_19_Metal_Bumpcorrosion\637826116893852347_RTEC_Regular_DEF.JPG,0
0.9964007,7.48E-32,1.41E-15,0.003553237,5.87E-18,4.61E-05,0.9964007,0,637826116411705085_19_Metal_Bumpcorrosion\637826116894321295_RTEC_Regular_DEF.JPG,0
0.9980648,1.86E-29,3.07E-15,0.001582387,2.43E-17,0.00035283,0.9980648,0,637826116411705085_19_Metal_Bumpcorrosion\637826116894790154_RTEC_Regular_DEF.JPG,0
1,3.06E-14,6.29E-16,6.73E-10,1.33E-19,3.56E-08,1,0,637826116411705085_19_Metal_Bumpcorrosion\637826116895258398_RTEC_Regular_DEF.JPG,0
0.9999999,2.37E-15,6.18E-16,4.68E-09,1.68E-19,1.21E-07,0.9999999,0,637826116411705085_19_Metal_Bumpcorrosion\637826116895727884_RTEC_Regular_DEF.JPG,0
0.9990395,1.79E-11,7.89E-15,8.06E-07,7.51E-17,0.000959609,0.9990395,0,637826116411705085_19_Metal_Bumpcorrosion\637826116896196142_RTEC_Regular_DEF.JPG,0
0.99975854,4.02E-12,9.41E-17,3.03E-07,6.15E-17,0.00024111,0.99975854,0,637826116411705085_19_Metal_Bumpcorrosion\637826116896665638_RTEC_Regular_DEF.JPG,0
0.9999957,9.94E-13,3.42E-15,5.20E-09,8.03E-18,4.30E-06,0.9999957,0,637826116411705085_19_Metal_Bumpcorrosion\637826116897134493_RTEC_Regular_DEF.JPG,0
0.99933356,6.21E-10,3.85E-15,5.56E-07,6.82E-16,0.000665799,0.99933356,0,637826116411705085_19_Metal_Bumpcorrosion\637826116897759662_RTEC_Regular_DEF.JPG,0
0.9999976,1.56E-09,2.59E-14,1.64E-08,1.90E-16,2.42E-06,0.9999976,0,637826116411705085_19_Metal_Bumpcorrosion\637826116898541043_RTEC_Regular_DEF.JPG,0
0.99999297,1.54E-11,4.60E-15,1.27E-06,1.04E-16,5.72E-06,0.99999297,0,637826116411705085_19_Metal_Bumpcorrosion\637826116899166153_RTEC_Regular_DEF.JPG,0
0.9999938,2.17E-11,3.17E-15,2.40E-07,3.83E-17,5.98E-06,0.9999938,0,637826116411705085_19_Metal_Bumpcorrosion\637826116899791171_RTEC_Regular_DEF.JPG,0
0.99999964,2.06E-10,2.14E-15,1.75E-09,5.97E-19,3.57E-07,0.99999964,0,637826116411705085_19_Metal_Bumpcorrosion\637826116900416331_RTEC_Regular_DEF.JPG,0
