Dog_ID,Fur_Quality,Eye_Condition,Ear_Condition,Energy_Level,Appetite,Weight_Change,Gender
Dog_1,Coarse,Clear,Smelly,Low,Normal,Stable,Female
Dog_2,Shedding,Redness,Inflamed,Normal,Increased,Stable,Male
Dog_3,Smooth,Cloudy,Smelly,Normal,Normal,Gaining,Male
Dog_4,Coarse,Clear,Smelly,Normal,Normal,Stable,Female
Dog_5,Coarse,Cloudy,Clean,High,Normal,Gaining,Male
Dog_6,Shedding,Redness,Clean,Normal,Decreased,Stable,Male
Dog_7,Smooth,Cloudy,Clean,Low,Decreased,Stable,Male
Dog_8,Smooth,Cloudy,Clean,Normal,Normal,Gaining,Male
Dog_9,Coarse,Clear,Smelly,Normal,Increased,Losing,Male
Dog_10,Shiny,Cloudy,Smelly,Normal,Increased,Losing,Male
Dog_11,Coarse,Cloudy,Clean,High,Decreased,Gaining,Male
Dog_12,Coarse,Cloudy,Clean,Low,Normal,Gaining,Female
Dog_13,Coarse,Clear,Inflamed,Normal,Decreased,Losing,Male
Dog_14,Coarse,Redness,Inflamed,Low,Decreased,Losing,Female
Dog_15,Shedding,Redness,Clean,Low,Decreased,Stable,Female
Dog_16,Smooth,Cloudy,Smelly,High,Normal,Stable,Female
Dog_17,Shedding,Clear,Clean,Low,Normal,Stable,Female
Dog_18,Shedding,Cloudy,Smelly,Normal,Decreased,Losing,Female
Dog_19,Shedding,Redness,Smelly,High,Normal,Gaining,Female
Dog_20,Coarse,Clear,Inflamed,High,Increased,Stable,Male
Dog_21,Shiny,Redness,Clean,Low,Increased,Gaining,Male
Dog_22,Smooth,Redness,Clean,High,Decreased,Losing,Female
Dog_23,Shiny,Clear,Smelly,Low,Increased,Stable,Female
Dog_24,Shedding,Clear,Clean,Low,Decreased,Losing,Male
Dog_25,Shedding,Cloudy,Inflamed,High,Decreased,Gaining,Male
Dog_26,Shiny,Cloudy,Inflamed,Normal,Decreased,Stable,Female
Dog_27,Shiny,Redness,Clean,Low,Normal,Gaining,Female
Dog_28,Shiny,Clear,Clean,High,Normal,Gaining,Female
Dog_29,Shedding,Clear,Inflamed,High,Normal,Stable,Male
Dog_30,Shedding,Cloudy,Clean,Low,Normal,Stable,Male
